"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"87","Charlie Woerner (ATL)","6","5","33","6.6","18","0","0","0","0","0","0","11","3.3","0.3","0.0%"
"88","James Mitchell (CAR)","3","3","28","9.3","11","0","0","0","0","0","0","3","2.8","0.9","0.0%"
"89","Foster Moreau (NO)","6","3","25","8.3","10","0","0","0","0","0","0","7","2.5","0.4","1.2%"
"90","Brenden Bates (CLE)","2","2","23","11.5","19","0","0","0","0","0","0","5","2.3","0.5","0.0%"
"91","Cade Stover (HOU)","6","4","22","5.5","10","0","0","0","0","0","0","3","2.2","0.7","0.6%"
"92","Tucker Fisk (LAC)","4","2","19","9.5","12","0","0","0","0","0","0","9","1.9","0.2","1.0%"
"93","Tip Reiman (ARI)","5","3","18","6.0","10","0","0","0","0","0","0","5","1.8","0.4","0.0%"
"94","Zaire Mitchell-Paden (NO)","3","2","17","8.5","14","0","0","0","0","0","0","8","1.7","0.2","1.0%"
"95","Lucas Krull (DEN)","4","2","15","7.5","9","0","0","0","0","0","0","4","1.5","0.4","1.8%"
"96","Durham Smythe (CHI)","4","2","12","6.0","8","0","0","0","0","0","0","11","1.2","0.1","1.1%"
"97","Eric Saubert (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","7","1.2","0.2","1.8%"
"98","Quintin Morris (JAC)","3","1","11","11.0","11","0","0","0","0","0","0","7","1.1","0.2","1.4%"
"99","Kylen Granson (PHI)","4","3","10","3.3","5","0","0","0","0","0","0","11","1.0","0.1","0.7%"
"100","Harrison Bryant (HOU)","6","2","7","3.5","5","0","0","0","0","0","0","8","0.7","0.1","0.0%"
"101","Chris Manhertz (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","12","0.7","0.1","0.0%"
"102","Josiah Deguara (ARI)","1","1","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"103","Cam Grandy (CIN)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"104","Ben Yurosek (MIN)","2","1","5","5.0","5","0","0","0","0","0","0","8","0.5","0.1","0.0%"
"105","Blake Whiteheart (CLE)","3","2","4","2.0","4","0","0","0","0","0","0","10","0.4","0.0","0.0%"
"106","Colson Yankoff (WAS)","1","1","4","4.0","4","0","0","0","0","0","0","9","0.4","0.0","1.1%"
"107","Jared Wiley (KC)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"108","Keleki Latu (BUF)","1","1","4","4.0","4","0","0","0","0","0","0","2","0.4","0.2","0.0%"
"109","Anthony Firkser (DET)","1","1","4","4.0","4","0","0","0","0","0","0","2","0.4","0.2","0.0%"
"110","Carter Runyon (LV)","1","1","3","3.0","3","0","0","0","0","0","0","6","0.3","0.1","0.0%"
"111","Ross Dwelley (DET)","4","1","3","3.0","3","0","0","0","0","0","0","9","0.3","0.0","0.1%"
"112","Robert Tonyan (KC)","1","1","1","1.0","1","0","0","0","0","0","0","11","0.1","0.0","0.0%"
"113","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"116","Kenny Yeboah (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"118","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"119","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Feleipe Franks (ATL)","0","0","0","0","0","0","0","2","4","0","0","8","0.0","0.0","0.0%"
"121","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"123","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Gavin Bartholomew (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Caden Prieskorn (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"126","McCallan Castles (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","1.2%"
"128","Mason Pline (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
