Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Position,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R
56.0,Parker Douglass (NYJ),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
57.0,Mark Hickok (NYG),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
58.0,MacKenzie Hoambrecker (SF),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
59.0,Andrew Jacas (SF),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
60.0,Connor Hughes (DAL),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
61.0,Garrett Lindholm (ATL),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
62.0,Saverio Rocca (WAS),,,,,,,,0.0,0.0,0.0,0.0%,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Patrick Mahomes II (KC),,7.0,,,,,,12.0,273.3,22.8,99.1%,QB,,,64.6,,,,,,,,,285.0,441.0,"3,238",7.3,22.0,27.0,55.0,348.0,4.0,0.0,,,,
2.0,Josh Allen (BUF),,9.0,,,,,,11.0,264.4,24.0,99.6%,QB,,,69.7,,,,,,,,,228.0,327.0,"2,709",8.3,18.0,28.0,70.0,371.0,10.0,2.0,,,,
3.0,Dak Prescott (DAL),,8.0,,,,,,12.0,248.8,20.7,90.2%,QB,,,69.3,,,,,,,,,303.0,437.0,"3,261",7.5,25.0,17.0,41.0,124.0,2.0,1.0,,,,
4.0,Drake Maye (NE),,6.0,,,,,,12.0,244.1,20.3,97.0%,QB,,,71.0,,,,,,,,,252.0,355.0,"3,130",8.8,21.0,37.0,75.0,307.0,2.0,2.0,,,,
5.0,Jalen Hurts (PHI),,1.0,,,,,,11.0,232.1,21.1,99.7%,QB,,,67.2,,,,,,,,,207.0,308.0,"2,284",7.4,17.0,27.0,80.0,298.0,8.0,2.0,,,,
6.0,Matthew Stafford (LAR),,2.0,,,,,,11.0,226.2,20.6,91.3%,QB,,,66.5,,,,,,,,,248.0,373.0,"2,830",7.6,30.0,15.0,24.0,-9.0,0.0,2.0,,,,
7.0,Jared Goff (DET),,5.0,,,,,,12.0,216.6,18.1,88.0%,QB,,,69.8,,,,,,,,,264.0,378.0,"3,025",8.0,25.0,26.0,13.0,46.0,0.0,2.0,,,,
8.0,Daniel Jones (IND),,7.0,,,,,,11.0,216.5,19.7,62.0%,QB,,,69.1,,,,,,,,,242.0,350.0,"2,840",8.1,17.0,21.0,43.0,159.0,5.0,3.0,,,,
9.0,Caleb Williams (CHI),,4.0,,,,,,11.0,216.3,19.7,81.6%,QB,,,59.2,,,,,,,,,213.0,360.0,"2,568",7.1,16.0,17.0,56.0,293.0,3.0,1.0,,,,
10.0,Justin Herbert (LAC),,9.0,,,,,,11.0,215.1,19.6,93.0%,QB,,,66.5,,,,,,,,,250.0,376.0,"2,691",7.2,19.0,35.0,54.0,345.0,1.0,1.0,,,,
11.0,Bo Nix (DEN),,8.0,,,,,,11.0,206.1,18.7,90.3%,QB,,,61.2,,,,,,,,,237.0,387.0,"2,421",6.3,18.0,12.0,50.0,213.0,3.0,1.0,,,,
12.0,Jordan Love (GB),,3.0,,,,,,12.0,201.3,16.8,73.9%,QB,,,67.0,,,,,,,,,242.0,361.0,"2,794",7.7,19.0,17.0,41.0,164.0,0.0,2.0,,,,
13.0,Baker Mayfield (TB),,5.0,,,,,,11.0,188.8,17.2,93.9%,QB,,,62.7,,,,,,,,,225.0,359.0,"2,406",6.7,18.0,22.0,31.0,216.0,1.0,2.0,,,,
14.0,Trevor Lawrence (JAC),,11.0,,,,,,11.0,186.1,16.9,44.2%,QB,,,59.8,,,,,,,,,220.0,368.0,"2,407",6.5,14.0,29.0,54.0,210.0,5.0,3.0,,,,
15.0,Sam Darnold (SEA),,10.0,,,,,,11.0,174.3,15.8,43.3%,QB,,,69.5,,,,,,,,,207.0,298.0,"2,785",9.3,19.0,11.0,16.0,49.0,0.0,4.0,,,,
16.0,Jaxson Dart (NYG),,3.0,,,,,,9.0,163.3,18.1,77.5%,QB,,,62.7,,,,,,,,,128.0,204.0,"1,417",6.9,10.0,21.0,57.0,317.0,7.0,2.0,,,,
17.0,Lamar Jackson (BAL),,4.0,,,,,,9.0,158.0,17.6,99.8%,QB,,,64.8,,,,,,,,,147.0,227.0,"1,841",8.1,15.0,27.0,52.0,264.0,1.0,3.0,,,,
18.0,Joe Flacco (CIN),,10.0,,,,,,10.0,155.3,15.5,24.3%,QB,,,60.2,,,,,,,,,247.0,410.0,"2,451",6.0,15.0,18.0,16.0,31.0,1.0,3.0,,,,
19.0,Aaron Rodgers (PIT),,7.0,,,,,,10.0,152.4,15.2,29.5%,QB,,,66.4,,,,,,,,,192.0,289.0,"1,969",6.8,19.0,19.0,14.0,26.0,0.0,0.0,,,,
20.0,Bryce Young (CAR),,9.0,,,,,,11.0,146.1,13.3,21.1%,QB,,,62.7,,,,,,,,,215.0,343.0,"2,131",6.2,15.0,20.0,27.0,98.0,1.0,4.0,,,,
21.0,Geno Smith (LV),,13.0,,,,,,11.0,144.8,13.2,11.5%,QB,,,66.6,,,,,,,,,235.0,353.0,"2,367",6.7,13.0,41.0,37.0,110.0,0.0,1.0,,,,
