"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"67","Brashard Smith (KC)","29","87","3.0","8","0","0","26","19","161","8.5","0","0","12","24.8","2.1","5.2%"
"68","Trey Benson (ARI)","29","160","5.5","52","2","0","16","13","64","4.9","0","0","5","22.4","4.5","65.1%"
"69","Kyle Juszczyk (SF)","2","-3","-1.5","0","0","0","21","18","160","8.9","1","0","12","21.7","1.8","0.8%"
"70","Antonio Gibson (NE)","25","106","4.2","21","1","1","3","2","6","3.0","0","1","5","21.2","4.2","1.3%"
"71","George Holani (SEA)","22","73","3.3","9","0","1","2","2","15","7.5","0","1","10","18.8","1.9","0.1%"
"72","Miles Sanders (DAL)","20","117","5.9","49","1","1","8","8","30","3.8","0","1","4","18.7","4.7","1.5%"
"73","Zavier Scott (MIN)","21","69","3.3","11","0","0","12","10","73","7.3","1","1","6","18.2","3.0","0.6%"
"74","Ray Davis (BUF)","24","44","1.8","8","0","0","7","4","18","4.5","1","0","11","18.2","1.7","7.0%"
"75","Tank Bigsby (PHI)","23","176","7.7","29","1","0","1","1","-1","-1.0","0","0","10","17.5","1.8","33.9%"
"76","Malik Davis (DAL)","13","97","7.5","43","2","1","0","0","0","0","0","0","6","15.7","2.6","0.7%"
"77","Raheem Mostert (LV)","20","92","4.6","37","1","0","9","9","63","7.0","0","0","8","15.5","1.9","2.2%"
"78","Jerome Ford (CLE)","24","73","3.0","12","0","0","26","21","76","3.6","0","0","11","14.9","1.4","20.4%"
"79","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","5","14.2","2.8","1.9%"
"80","Hunter Luepke (DAL)","3","13","4.3","6","0","0","9","8","63","7.9","1","0","11","13.6","1.2","0.6%"
"81","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","13.3","3.3","10.6%"
"82","Ameer Abdullah (IND)","8","40","5.0","14","0","1","6","5","30","6.0","0","0","7","13.0","1.9","0.7%"
"83","Devin Neal (NO)","17","61","3.6","14","0","0","14","12","64","5.3","0","0","6","12.5","2.1","51.2%"
"84","LeQuint Allen Jr. (JAC)","14","70","5.0","12","0","0","8","7","41","5.9","0","0","11","11.1","1.0","0.6%"
"85","Chris Brooks (GB)","11","31","2.8","10","0","0","12","10","68","6.8","0","0","12","9.9","0.8","2.8%"
"86","Brittain Brown (FA)","5","37","7.4","22","1","1","1","0","0","0","0","0","1","9.7","9.7","0.7%"
"87","Tyler Badie (DEN)","2","9","4.5","6","0","0","19","11","87","7.9","0","0","10","9.6","1.0","0.9%"
"88","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","8.6","2.9","7.4%"
