"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"176","Jordan Watkins (SF)","3","2","26","13.0","19","0","0","0","0","0","0","3","2.6","0.9","1.2%"
"177","Gage Larvadain (CLE)","6","2","22","11.0","14","0","0","1","3","0","0","7","2.5","0.4","0.0%"
"178","Beaux Collins (NYG)","6","2","25","12.5","18","0","0","0","0","0","0","9","2.5","0.3","0.1%"
"179","Xavier Weaver (ARI)","7","3","24","8.0","9","0","0","0","0","0","0","5","2.4","0.5","0.0%"
"180","Tay Martin (FA)","2","2","23","11.5","14","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"181","Trent Sherfield Sr. (ARI)","4","3","21","7.0","15","0","0","0","0","0","0","10","2.1","0.2","0.0%"
"182","Jake Bobo (SEA)","2","2","20","10.0","17","0","0","0","0","0","0","7","2.0","0.3","0.8%"
"183","Jared Wayne (HOU)","2","2","20","10.0","17","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"184","Dylan Drummond (ATL)","3","3","18","6.0","9","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"185","David Moore (CAR)","1","1","5","5.0","5","0","0","1","12","0","0","4","1.7","0.4","0.8%"
"186","Tim Jones (JAC)","1","1","15","15.0","15","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"187","Mason Kinsey (TEN)","3","1","14","14.0","14","0","0","0","0","0","0","5","1.4","0.3","0.0%"
"188","Dante Pettis (NO)","1","1","14","14.0","14","0","0","0","0","0","0","2","1.4","0.7","1.0%"
"189","Tai Felton (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","9","0.9","0.1","0.6%"
"190","Scotty Miller (PIT)","2","1","9","9.0","9","0","0","0","0","0","0","8","0.9","0.1","0.1%"
"191","Alex Bachman (LV)","2","1","9","9.0","9","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"192","Cedrick Wilson Jr. (MIA)","2","2","9","4.5","7","0","0","0","0","0","0","4","0.9","0.2","1.1%"
"193","Bryce Oliver (TEN)","1","1","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"194","Darius Cooper (PHI)","2","2","7","3.5","4","0","0","0","0","0","0","7","0.7","0.1","1.5%"
"195","Andre Baccellia (ARI)","1","1","5","5.0","5","0","0","0","0","0","0","2","0.5","0.3","0.0%"
"196","Anthony Gould (IND)","1","1","3","3.0","3","0","0","0","0","0","0","9","0.3","0.0","0.6%"
"197","Devin Duvernay (CHI)","3","1","2","2.0","2","0","0","0","0","0","0","11","0.2","0.0","0.6%"
"198","KeAndre Lambert-Smith (LAC)","4","1","1","1.0","1","0","0","0","0","0","0","6","0.1","0.0","0.6%"
"199","Jonathan Mingo (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"200","Kevin Austin Jr. (NO)","1","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"201","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"203","Ronnie Bell (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Cornelius Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"206","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"207","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Cornell Powell (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Jermaine Burton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"211","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"212","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","K.J. Osborn (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"215","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"218","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.8%"
"222","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Qadir Ismail (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Dee Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"229","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"231","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"232","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"233","Ja'Lynn Polk (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"234","Brenden Rice (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"235","Eli Pancol (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
